制单日期,凭证号,一级科目,科目名称,摘要,借方金额,贷方金额
2026-01-05,记-0001,应付职工薪酬,应付工资,计提1月工资,50000,0
2026-01-05,记-0001,管理费用,工资,计提1月工资,20000,0
2026-01-05,记-0001,银行存款,基本户,计提1月工资,0,70000
2026-01-10,记-0002,原材料,原材料,采购钢材一批,80000,0
2026-01-10,记-0002,应交税费,应交增值税-进项税,采购钢材进项税,10400,0
2026-01-10,记-0002,应付账款,供应商A,采购钢材货款,0,90400
2026-01-15,记-0003,银行存款,基本户,收到货款,100000,0
2026-01-15,记-0003,主营业务收入,产品销售收入,收到货款,0,100000
2026-01-20,记-0004,管理费用,办公费,支付房租,8000,0
2026-01-20,记-0004,银行存款,基本户,支付房租,0,8000
2026-01-25,记-0005,固定资产,设备,购入设备,60000,0
2026-01-25,记-0005,应交税费,应交增值税-进项税,购入设备进项税,7800,0
2026-01-25,记-0005,银行存款,基本户,购入设备,0,67800
2026-01-31,记-0006,应交税费,应交增值税,缴纳上月增值税,15000,0
2026-01-31,记-0006,银行存款,基本户,缴纳上月增值税,0,15000
